SCI_NAME,Species,Sciname,SPECIES_CODE,PRIMARY_COM_NAME,USABLE,LiberEro
Rynchops_niger,Black Skimmer,Rynchops niger,blkski,Black_Skimmer,,0
Cypseloides_niger,Black Swift,Cypseloides niger,blkswi,Black_Swift,,1
Arenaria_melanocephala,Black Turnstone,Arenaria melanocephala,blktur,Black_Turnstone,,0
Coragyps_atratus,Black Vulture,Coragyps atratus,blkvul,Black_Vulture,,0
Passerina_caerulea,Blue Grosbeak,Passerina caerulea,blugrb1,Blue_Grosbeak,,1
Cyanocitta_cristata,Blue Jay,Cyanocitta cristata,blujay,Blue_Jay,,0
Molothrus_ater,Brown-headed Cowbird,Molothrus ater,bnhcow,Brown-headed_Cowbird,,0
Dolichonyx_oryzivorus,Bobolink,Dolichonyx oryzivorus,boboli,Bobolink,,1
Numenius_tahitiensis,Bristle-thighed Curlew,Numenius tahitiensis,brtcur,Bristle-thighed_Curlew,MAYBE,0
Selasphorus_platycercus,Broad-tailed Hummingbird,Selasphorus platycercus,brthum,Broad-tailed_Hummingbird,,1
Buteo_platypterus,Broad-winged Hawk,Buteo platypterus,brwhaw,Broad-winged_Hawk,,0
Setophaga_caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,btbwar,Black-throated_Blue_Warbler,,1
Setophaga_virens,Black-throated Green Warbler,Setophaga virens,btnwar,Black-throated_Green_Warbler,,1
Setophaga_nigrescens,Black-throated Gray Warbler,Setophaga nigrescens,btywar,Black-throated_Gray_Warbler,,1
Calidris_subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,bubsan,Buff-breasted_Sandpiper,,0
Polioptila_caerulea,Blue-gray Gnatcatcher,Polioptila caerulea,buggna,Blue-gray_Gnatcatcher,,1
Vireo_solitarius,Blue-headed Vireo,Vireo solitarius,buhvir,Blue-headed_Vireo,,1
Icterus_bullockii,Bullock's Oriole,Icterus bullockii,bulori,Bullock's_Oriole,,1
Vermivora_cyanoptera,Blue-winged Warbler,Vermivora cyanoptera,buwwar,Blue-winged_Warbler,,1
Selasphorus_calliope,Calliope Hummingbird,Selasphorus calliope,calhum,Calliope_Hummingbird,,1
Setophaga_tigrina,Cape May Warbler,Setophaga tigrina,camwar,Cape_May_Warbler,,1
Cardellina_canadensis,Canada Warbler,Cardellina canadensis,canwar,Canada_Warbler,,1
Tyrannus_vociferans,Cassin's Kingbird,Tyrannus vociferans,caskin,Cassin's_Kingbird,,1
